PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
233213539,20159100,0,2020-08-27T03:08:00,"300 Block S Negley Ave Pittsburgh, PA 15206",N,Friendship,5,99,9997 Overdose Death,807,9,2,-79.9291230901834,40.4656630058358
233213584,20159110,99,2020-08-27T03:38:00,"10 Block Maytide St Pittsburgh, PA 15227",N,Carrick,3,AIDED CASE,9497 Aided Case,2904,4,3,-79.9817712925954,40.3847042838016
233213639,20159045,0,2020-08-27T01:00:00,"4500 Block Carroll St Pittsburgh, PA 15224",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): ,903,7,2,-79.9513159328587,40.4652687247021
233218472,20155726,14,2020-08-24T07:00:00,"2000 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1702,3,3,-79.9775107965358,40.4283181874135
233219185,20155724,14,2020-08-24T07:00:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1702,3,3,-79.9818723137217,40.4285931755254
233219529,20155725,14,2020-08-24T07:00:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1702,3,3,-79.9818723137217,40.4285931755254
233291558,20159772,0,2020-08-28T03:00:00,"1000 Block Adon St Pittsburgh, PA 15204",Y,Sheraden,6,99,627.02(b)(i) Possessing a small amount of marijuana,2018,2,5,-80.0608676199718,40.4538151696759
233291854,20159780,99,2020-08-28T03:00:00,"1000 Block W North Ave Pittsburgh, PA 15233",N,Manchester,1,AIDED CASE,9497 Aided Case,2107,,,0,0
233292060,20159784,0,2020-08-28T03:27:00,"40 Block Mt Oliver St Pittsburgh, PA 15210",N,South Side Slopes,3,99,9133 Noise Complaint - No Citation,1706,3,3,-79.9875015098531,40.4204583450145
233292363,20159761,5,2020-08-28T02:14:00,"100 Block Rhine Pl Pittsburgh, PA 15212",Y,Spring Hill-City View,1,BURGLARY,3502 Burglary. / 2701 Simple Assault. / 3503 Criminal Trespass,2620,1,1,-79.992041845149,40.4653596489546
233293110,20159810,99,2020-08-28T05:00:00,"50 Block 11th St Pittsburgh, PA 15222",Y,Central Business District,2,AIDED CASE,9497 Aided Case,201,3,3,-79.9876755376991,40.428967496273
233293142,20159799,26,2020-08-28T04:30:00,"3300 Block Ward St Pittsburgh, PA 15213",N,South Oakland,4,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,409,3,3,-79.9549043321306,40.4331760065168
232988537,20156820,1,2020-08-23T21:41:00,"100 Block Penfort St Pittsburgh, PA 15214",N,Northview Heights,1,CRIMINAL HOMICIDE,2501 Criminal Homicide.,2609,,,0,0
232989120,20156861,99,2020-08-23T23:00:00,"2000 Block Carey Way Pittsburgh, PA 15203",Y,South Side Flats,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1702,3,3,-79.9776523411232,40.4281058289463
232992018,20156957,14,2020-08-24T02:51:00,"300 Block 44th St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked.,902,7,2,-79.9578954398939,40.4698945317783
233022740,20157208,10,2020-08-24T12:43:00,"2900 Block Shadeland Ave Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT,2701 Simple Assault.,2715,1,1,-80.0304048905528,40.4707029348676
233024871,20154159,18,2020-08-20T06:00:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,East Hills,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,1306,6,6,-79.9960409452176,40.4350395659105
233033608,20157323,6,2020-08-24T09:00:00,"1100 Block W North Ave Pittsburgh, PA 15233",N,Manchester,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2107,,,0,0
233035363,20157325,6,2020-08-24T13:00:00,"7400 Block Pennfield Ct Pittsburgh, PA 15221",N,Point Breeze North,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1405,9,2,-79.8976796047495,40.4487098666525
233038855,20157362,99,2020-08-24T17:30:00,"3000 Block Zephyr Ave Pittsburgh, PA 15204",Y,Sheraden,6,AIDED CASE,9497 Aided Case,2018,2,5,-80.0534504413852,40.4563216705103
233148328,20157932,10,2020-08-25T08:30:00,"3200 Block Faronia St Pittsburgh, PA 15204",N,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault.,2022,2,5,-80.0663606774522,40.451609860466
233149433,20158436,5,2020-08-26T07:10:00,"900 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,BURGLARY,3502 Burglary.,1803,3,5,-79.9905268087358,40.4217990611683
233163299,20158536,99,2020-08-26T10:25:00,"Josephine St & S 18th St Pittsburgh, PA 15203",N,South Side Slopes,3,AIDED CASE,9497 Aided Case,1706,3,3,-79.9799819027297,40.4248958313202
232929732,20155233,0,2020-08-21T16:52:00,"Beech Ave & Spring Garden Blvd Pittsburgh, PA 15212",Y,Chateau,1,99,627.02(b)(i) Possessing a small amount of marijuana,2108,,,-79.9962259353116,40.4812643275114
232933964,20155321,4,2020-08-21T18:45:00,"1400 Block Cooper Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 5121 Escape. / 3323 Stop Signs and Yield Signs. / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving,2701,1,1,-80.0370441331193,40.4839157624974
232943132,20155550,0,2020-08-22T00:49:00,"2nd Ave & Hot Metal St Brg Pittsburgh, PA 15213",Y,Central Business District,4,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3112 Traffic-Control Signals. / 3736 Reckless Driving,409,3,3,-79.9577731023329,40.4299862091701
-3413046185,20155842,10,2020-08-22T13:29:00,"300 Block Zara St Pittsburgh, PA 15210",N,Knoxville,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a) Harassment.,3001,3,5,-79.9930932371762,40.4157793577632
232990504,20156867,0,2020-08-23T23:25:00,"3100 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,99,9992 Governor's Order Violation,2022,2,5,-80.0611043000205,40.4538722967083
233006794,20157106,6,2020-08-22T11:30:00,"900 Block Washington Blvd Pittsburgh, PA 15206",Y,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1204,9,2,-79.9071294954201,40.4599082540767
233012471,20157095,99,2020-08-24T09:22:00,"200 Block N Euclid Ave Pittsburgh, PA 15224",N,East Liberty,5,FOUND PROPERTY,9489 Found Property,1115,1,1,-80.0088814628293,40.4552322813828
233012649,20157140,5,2020-08-24T11:25:00,"700 Block Mercer St Pittsburgh, PA 15219",N,Crawford-Roberts,2,BURGLARY,3502 Burglary.,305,,,0,0
233013502,20157158,0,2020-08-24T11:18:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",N,Fineview,1,99,9999 9999 - (Misc. Incident): noise disturbance,2509,6,1,-80.0069833937371,40.460310552493
233172777,20158551,5,2020-08-26T01:00:00,"700 Block Brushton Ave Pittsburgh, PA 15221",N,Homewood South,5,BURGLARY,3502 Burglary. / 3304 Criminal Mischief. / 9093 Indirect Criminal Contempt,1304,9,2,-79.8888038569609,40.4536949158778
233174002,20158611,6,2020-08-26T09:30:00,"200 Block Dengler St Pittsburgh, PA 15210",N,Arlington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1603,3,3,-79.9676644434276,40.4155394483008
233176218,20158608,99,2020-08-26T12:25:00,"2300 Block SPOKANE Ave Pittsburgh, PA 15210",N,Carrick,3,FOUND DRUGS,9017 Found Drugs,2904,4,3,-79.9893952432372,40.3881475164332
233116852,20158000,99,2020-08-25T18:30:00,"4000 Block Penn Ave Pittsburgh, PA 15201",Y,Central Lawrenceville,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),902,7,2,-79.9579274529427,40.4651883742036
233186716,20158696,27,2020-08-26T14:50:00,"44th St & Bessemer St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,902,7,2,-79.9571701776761,40.469579156643
233188028,20158718,11,2020-08-26T15:45:00,"200 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT BY DECEPTION,3922 Theft by Deception.,1115,8,2,-79.9252961319403,40.4587558589122
232918427,20154996,99,2020-08-21T09:15:00,"500 Block Chautauqua St Pittsburgh, PA 15214",Y,Perry South,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2614,6,1,-80.0152187444409,40.4652049157821
232962758,20156065,0,2020-08-22T19:34:00,"Beacon St & Bartlett St Pittsburgh, PA 15217",Y,Squirrel Hill South,4,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3809(a) Restriction on Alcoholic Beverages in Vehicle,1408,5,3,-79.9137216429141,40.4354119409543
232964288,20156194,23,2020-08-22T22:42:00,"1600 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,2901,4,3,-79.9890669688938,40.3998045691587
232982148,20156630,6,2020-08-23T15:30:00,"1400 Block Harlow St Pittsburgh, PA 15204",N,Chartiers City,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2021,2,5,-80.0713674628773,40.4593340267843
232984061,20156701,14,2020-08-23T18:00:00,"Edgebrook Ave & Timberland Ave Pittsburgh, PA 15226",N,Brookline,6,CRIM MISCHIEF,3304 Criminal Mischief.,1917,4,5,-80.0028597644902,40.4015236840419
232985123,20156755,6,2020-08-23T19:10:00,"600 Block Mount Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2609,1,1,-79.9994473921099,40.4768008945595
232986566,20156813,10,2020-08-23T21:20:00,"5400 Block Sunnyside St Pittsburgh, PA 15207",Y,Hazelwood,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1515,,,0,0
233019259,20157202,0,2020-08-24T12:32:00,"100 Block Alpine Ave Pittsburgh, PA 15212",N,Central North Side,1,99,9999 9999 - (Misc. Incident): ,2503,6,1,-80.0089485547709,40.4587061869282
